time_fs,mu_true,mu_pred,mm_true,mm_pred,q0_true,q0_pred,q1_true,q1_pred,q2_true,q2_pred,q3_true,q3_pred
2.479999923706054688e+01,2.406029999256134033e-01,2.403084188699722290e-01,-3.248199645895510912e-04,-3.496580175124108791e-04,2.153224922949448228e-04,3.419445420149713755e-04,1.342864852631464601e-04,-4.395402793306857347e-04,-2.080727572320029140e-04,-1.742783642839640379e-04,-1.415362057741731405e-04,1.380353933200240135e-04
2.481999969482421875e+01,2.421376109123229980e-01,2.421001791954040527e-01,-3.306984726805239916e-04,-3.543082857504487038e-04,1.319774892181158066e-04,2.463866258040070534e-04,2.529891789890825748e-04,-3.603671502787619829e-04,-1.728053175611421466e-04,-1.053991363733075559e-04,-2.121613506460562348e-04,8.026661816984415054e-05
2.484000015258789062e+01,2.436048984527587891e-01,2.437792420387268066e-01,-3.295705246273428202e-04,-3.514139389153569937e-04,4.985471605323255062e-05,1.490883296355605125e-04,3.699760127346962690e-04,-2.787981065921485424e-04,-1.372484257444739342e-04,-3.258919241488911211e-05,-2.825823030434548855e-04,1.990666714846156538e-05
2.486000061035156250e+01,2.449744045734405518e-01,2.453129738569259644e-01,-3.218203491996973753e-04,-3.411181678529828787e-04,-2.920068982348311692e-05,5.194556797505356371e-05,4.825086507480591536e-04,-1.960285444511100650e-04,-1.024166194838471711e-04,4.225825978210195899e-05,-3.508913505356758833e-04,-4.238793553668074310e-05
2.487999916076660156e+01,2.462181001901626587e-01,2.466743439435958862e-01,-3.078967565670609474e-04,-3.236814518459141254e-04,-1.037530528265051544e-04,-4.304757385398261249e-05,5.882674013264477253e-04,-1.133590703830122948e-04,-6.929673691047355533e-05,1.171554613392800093e-04,-4.152175970375537872e-04,-1.051466242643073201e-04
2.489999961853027344e+01,2.473111301660537720e-01,2.478417158126831055e-01,-2.881516120396554470e-04,-2.994658425450325012e-04,-1.726852642605081201e-04,-1.336321583949029446e-04,6.855098181404173374e-04,-3.226822082069702446e-05,-3.893553366651758552e-05,1.907450205180794001e-04,-4.738889983855187893e-04,-1.672848447924479842e-04
2.492000007629394531e+01,2.482325285673141479e-01,2.487984299659729004e-01,-2.628309302963316441e-04,-2.689348766580224037e-04,-2.351673756493255496e-04,-2.181669988203793764e-04,7.731059449724853039e-04,4.550893208943307400e-05,-1.234465344168711454e-05,2.613442193251103163e-04,-5.255939322523772717e-04,-2.275328151881694794e-04
2.494000053405761719e+01,2.489653080701828003e-01,2.495322525501251221e-01,-2.322347572771832347e-04,-2.326671965420246124e-04,-2.906245063059031963e-04,-2.946700260508805513e-04,8.504724246449768543e-04,1.185078945127315819e-04,9.591733942215796560e-06,3.275351191405206919e-04,-5.694396677426993847e-04,-2.846179995685815811e-04
2.495999908447265625e+01,2.494957894086837769e-01,2.500349879264831543e-01,-1.967709977179765701e-04,-1.913774904096499085e-04,-3.385420131962746382e-04,-3.614455345086753368e-04,9.173619910143315792e-04,1.850980188464745879e-04,2.598815808596555144e-05,3.882571763824671507e-04,-6.048081559129059315e-04,-3.376249806024134159e-04
2.497999954223632812e+01,2.498135566711425781e-01,2.503021955490112305e-01,-1.568509615026414394e-04,-1.459301129216328263e-04,-3.783103311434388161e-04,-4.174794885329902172e-04,9.736348292790353298e-04,2.442032564431428909e-04,3.585560261853970587e-05,4.424261278472840786e-04,-6.311800680123269558e-04,-3.855379472952336073e-04
2.500000000000000000e+01,2.499119192361831665e-01,2.503331303596496582e-01,-1.130185846704989672e-04,-9.733170736581087112e-05,-4.093560273759067059e-04,-4.620741528924554586e-04,1.019277493469417095e-03,2.947542816400527954e-04,3.825571184279397130e-05,4.888134426437318325e-04,-6.481771706603467464e-04,-4.276170220691710711e-04
2.502000045776367188e+01,2.497882395982742310e-01,2.501302957534790039e-01,-6.626919639529660344e-05,-4.669514237320981920e-05,-4.313736862968653440e-04,-4.944318789057433605e-04,1.054613268934190273e-03,3.356968518346548080e-04,3.249456131015904248e-05,5.264680949039757252e-04,-6.557341548614203930e-04,-4.630370240192860365e-04
2.504000091552734375e+01,2.494442462921142578e-01,2.496993392705917358e-01,-1.791979411791544408e-05,4.819625246454961598e-06,-4.444258520379662514e-04,-5.140560097061097622e-04,1.080375281162559986e-03,3.661593946162611246e-04,1.819245699152816087e-05,5.546922911889851093e-04,-6.541419425047934055e-04,-4.910842399112880230e-04
2.505999946594238281e+01,2.488866895437240601e-01,2.490486353635787964e-01,3.085258140345104039e-05,5.606870763585902750e-05,-4.489499842748045921e-04,-5.206036148592829704e-04,1.097556552849709988e-03,3.850490029435604811e-04,-4.682086910179350525e-06,5.724037764593958855e-04,-6.439244607463479042e-04,-5.110863130539655685e-04
2.507999992370605469e+01,2.481277734041213989e-01,2.481890618801116943e-01,7.906168320914730430e-05,1.059713395079597831e-04,-4.456536553334444761e-04,-5.138232954777777195e-04,1.107171061448752880e-03,3.916558343917131424e-04,-3.587410174077376723e-05,5.790960276499390602e-04,-6.256432970985770226e-04,-5.224766209721565247e-04
2.510000038146972656e+01,2.471845746040344238e-01,2.471339404582977295e-01,1.257540716324001551e-04,1.535283518023788929e-04,-4.352253163233399391e-04,-4.940037033520638943e-04,1.109966542571783066e-03,3.854096285067498684e-04,-7.505449320888146758e-05,5.746147362515330315e-04,-5.996866966597735882e-04,-5.248958477750420570e-04
2.512000083923339844e+01,2.460783571004867554e-01,2.458990812301635742e-01,1.701300643617287278e-04,1.978168875211849809e-04,-4.180704709142446518e-04,-4.617344529833644629e-04,1.106188865378499031e-03,3.663146926555782557e-04,-1.219318946823477745e-04,5.589172360487282276e-04,-5.661864997819066048e-04,-5.182586610317230225e-04
2.513999938964843750e+01,2.448337525129318237e-01,2.445032149553298950e-01,2.114956296281889081e-04,2.379770012339577079e-04,-3.942933690268546343e-04,-4.178874951321631670e-04,1.095615793019533157e-03,3.349026374053210020e-04,-1.761501334840431809e-04,5.325655802153050900e-04,-5.251723341643810272e-04,-5.027742008678615093e-04
