epoch,loss,l_q,l_mu,l_mm,l_q_base,l_mu_base,l_mm_base,tf_prob,val_loss,val_internal,val_boundary,val_n_anchor,val_start_fs,val_end_fs,es_gate
1857,4.22396183013916,0.09413031488656998,8.232757568359375,0.026904664933681488,0.08451918512582779,8.232757568359375,0.026904664933681488,0.0,0.865913836386524,0.10646023416399901,1.6253674386107808,6,24.0,28.0,1
1858,4.241812705993652,0.10001017153263092,8.266345024108887,0.017259636893868446,0.08973611891269684,8.266345024108887,0.017259636893868446,0.0,1.0328395889749393,0.11131018691427552,1.954368991037669,6,24.0,28.0,1
1859,4.263053894042969,0.07707763463258743,8.34151840209961,0.030433349311351776,0.06948106735944748,8.34151840209961,0.030433349311351776,0.0,0.9870565264030583,0.1178076682433375,1.8563053845647532,6,24.0,28.0,1
1860,4.230566024780273,0.0907808318734169,8.255789756774902,0.023780768737196922,0.08125020563602448,8.255789756774902,0.023780768737196922,0.0,1.1383321411923921,0.12076801719366292,2.155896265193398,6,24.0,28.0,1
1861,4.195184230804443,0.07355210930109024,8.220552444458008,0.022711709141731262,0.0659850686788559,8.220552444458008,0.022711709141731262,0.0,0.8434476700424961,0.11928584485124505,1.5676094952354342,6,24.0,28.0,1
1862,4.22894287109375,0.09476076811552048,8.246688842773438,0.021675050258636475,0.08545741438865662,8.246688842773438,0.021675050258636475,0.0,0.7095815928063125,0.1186729102264904,1.300490275387554,6,24.0,28.0,1
1863,4.2279510498046875,0.09065568447113037,8.258622169494629,0.01596873626112938,0.08115366846323013,8.258622169494629,0.01596873626112938,0.0,0.663246794088893,0.11776030444315176,1.208733283735961,6,24.0,28.0,1
1864,4.115035533905029,0.07805699855089188,8.05176830291748,0.022189194336533546,0.07036641240119934,8.05176830291748,0.022189194336533546,0.0,0.63477109173621,0.1171715715706111,1.1523706119030785,6,24.0,28.0,1
1865,4.24356746673584,0.09438890218734741,8.286906242370605,0.01145083550363779,0.08444688469171524,8.286906242370605,0.01145083550363779,0.0,0.5607245311580947,0.1154953617657094,1.0059537005516015,6,24.0,28.0,1
1866,4.172583103179932,0.08015564829111099,8.15589427947998,0.02896025963127613,0.07143508642911911,8.15589427947998,0.02896025963127613,0.0,0.5719372243946462,0.11329232860475491,1.0305821201856815,6,24.0,28.0,1
1867,4.172039985656738,0.0793796256184578,8.15483570098877,0.030484819784760475,0.07160605490207672,8.15483570098877,0.030484819784760475,0.0,0.6561809959417557,0.11013751490192565,1.2022244769828982,6,24.0,28.0,1
1868,4.165094375610352,0.09124752134084702,8.126493453979492,0.021200057119131088,0.08115202933549881,8.126493453979492,0.021200057119131088,0.0,0.6373409005248242,0.10558152886004411,1.169100272190879,6,24.0,28.0,1
1869,4.266116142272949,0.11842551082372665,8.26479721069336,0.03058449923992157,0.10655350238084793,8.26479721069336,0.03058449923992157,0.0,0.5301759893530508,0.09963815489982113,0.9607138238073409,6,24.0,28.0,1
1870,4.210300922393799,0.09290189296007156,8.206036567687988,0.02876143902540207,0.08337844908237457,8.206036567687988,0.02876143902540207,0.0,0.5833868727330539,0.09774889227010496,1.0690248531971698,6,24.0,28.0,1
1871,4.210515975952148,0.08144547790288925,8.230636596679688,0.02750357985496521,0.07344219833612442,8.230636596679688,0.02750357985496521,0.0,0.692741326681085,0.10025928862069054,1.285223364742865,6,24.0,28.0,1
1872,4.1990556716918945,0.09010739624500275,8.192442893981934,0.025453342124819756,0.08068465441465378,8.192442893981934,0.025453342124819756,0.0,0.617407261034745,0.10334892224818482,1.1314655998225402,6,24.0,28.0,1
1873,4.240452766418457,0.0975436121225357,8.275561332702637,0.010256362147629261,0.08702003210783005,8.275561332702637,0.010256362147629261,0.0,1.1314769931087885,0.10910944837996173,2.1538445378398783,6,24.0,28.0,1
1874,4.14808988571167,0.08982086181640625,8.095871925354004,0.020666342228651047,0.08095281571149826,8.095871925354004,0.020666342228651047,0.0,0.8803876639160727,0.11267643793571869,1.6480988898981876,6,24.0,28.0,1
1875,4.179382801055908,0.10580803453922272,8.125383377075195,0.021765777841210365,0.09489067643880844,8.125383377075195,0.021765777841210365,0.0,0.8153705319886314,0.11020799647940527,1.5205330674994886,6,24.0,28.0,1
1876,4.11924934387207,0.0735025480389595,8.067477226257324,0.024016663432121277,0.06597056984901428,8.067477226257324,0.024016663432121277,0.0,0.4872616064791413,0.1105821721279185,0.8639410408313387,6,24.0,28.0,1
1877,4.200806140899658,0.0835014134645462,8.213088035583496,0.021521994844079018,0.0751480907201767,8.213088035583496,0.021521994844079018,0.0,0.5722023638648303,0.1102380775189832,1.0341666502118216,6,24.0,28.0,1
1878,4.107498645782471,0.07415109872817993,8.043556213378906,0.023139188066124916,0.06641241908073425,8.043556213378906,0.023139188066124916,0.0,0.45256750113135497,0.1107960943893001,0.794338907874315,6,24.0,28.0,1
1879,4.154365539550781,0.08333569765090942,8.122546195983887,0.019512666389346123,0.07449198514223099,8.122546195983887,0.019512666389346123,0.0,0.5050074730646318,0.11118340976655199,0.8988315363637217,6,24.0,28.0,1
1880,4.1942853927612305,0.09267842769622803,8.176249504089355,0.02696424536406994,0.08301699906587601,8.176249504089355,0.02696424536406994,0.0,0.6170931271777856,0.11006976530603065,1.1241164890507749,6,24.0,28.0,1
1881,4.20941686630249,0.0957186296582222,8.20258903503418,0.024807309731841087,0.08608829230070114,8.20258903503418,0.024807309731841087,0.0,0.8188207615809969,0.10720514026781675,1.530436382895815,6,24.0,28.0,1
1882,4.195809841156006,0.10963286459445953,8.154305458068848,0.01804838888347149,0.09830792993307114,8.154305458068848,0.01804838888347149,0.0,0.8098283005363687,0.10663737812480399,1.5130192229495532,6,24.0,28.0,1
1883,4.171076774597168,0.09331823885440826,8.134190559387207,0.02132563665509224,0.08388369530439377,8.134190559387207,0.02132563665509224,0.0,0.7057781704277808,0.10402937702581777,1.3075269638311555,6,24.0,28.0,1
1884,4.256949424743652,0.09801901876926422,8.2930326461792,0.02482800930738449,0.08720134943723679,8.2930326461792,0.02482800930738449,0.0,0.6176224544033504,0.1005033374034196,1.1347415714045166,6,24.0,28.0,1
1885,4.142726421356201,0.08995704352855682,8.086206436157227,0.01933199353516102,0.08111655712127686,8.086206436157227,0.01933199353516102,0.0,0.6697288280757113,0.0982314174122969,1.2412262387404653,6,24.0,28.0,1
1886,4.134434223175049,0.0831833928823471,8.072559356689453,0.02994219958782196,0.07511604577302933,8.072559356689453,0.02994219958782196,0.0,0.6617698534159472,0.09800796266128635,1.2255317441719316,6,24.0,28.0,1
1887,4.1339192390441895,0.09000431001186371,8.070947647094727,0.016881613060832024,0.08075709640979767,8.070947647094727,0.016881613060832024,0.0,0.8535498715096724,0.10529437543322316,1.601805367587829,6,24.0,28.0,1
