time_fs,mu_x_true,mu_x_pred,m_x_true,m_x_pred,is_train,is_val
3.2200737,0.24103269,0.24081305,7.4477e-05,7.195435e-05,0,0
3.2400742,0.23988253,0.23963901,7.840392e-05,7.496677e-05,0,0
3.2600746,0.23870896,0.2384404,8.188321e-05,7.757628e-05,0,0
3.280075,0.23753452,0.2372423,8.4694606e-05,7.9856196e-05,0,0
3.3000755,0.23638351,0.23606941,8.652133e-05,8.167135e-05,0,0
3.320076,0.23528142,0.2349461,8.706347e-05,8.2701925e-05,0,0
3.3400764,0.2342539,0.23389646,8.629759e-05,8.255874e-05,0,0
3.360077,0.233325,0.23294416,8.4387546e-05,8.103307e-05,0,0
3.3800774,0.23251528,0.23211162,8.1460814e-05,7.818767e-05,0,0
3.4000778,0.23184104,0.23141865,7.768219e-05,7.42168e-05,0,0
3.4200783,0.23131493,0.23088112,7.314937e-05,6.937236e-05,0,0
3.4400787,0.23094618,0.23051019,6.77457e-05,6.386518e-05,0,0
3.4600792,0.23074135,0.23031226,6.1395855e-05,5.7714777e-05,0,0
3.4800797,0.23070537,0.23028946,5.423984e-05,5.083676e-05,0,0
3.50008,0.23084095,0.23044068,4.6524485e-05,4.3252476e-05,0,0
3.5200806,0.23114732,0.23076247,3.8505867e-05,3.5146386e-05,0,0
3.540081,0.23161975,0.23124914,3.0383446e-05,2.6800537e-05,0,0
3.5600815,0.23224999,0.2318926,2.23232e-05,1.8489807e-05,0,0
3.580082,0.23302618,0.23268186,1.4519719e-05,1.0435238e-05,0,0
3.6000824,0.23393294,0.23360278,7.128868e-06,2.8338766e-06,0,0
3.6200829,0.23495233,0.23463777,2.1776032e-07,-4.1538547e-06,0,0
3.6400833,0.23606378,0.235766,-6.1977094e-06,-1.0448003e-05,0,0
3.6600838,0.23724407,0.23696378,-1.2168995e-05,-1.605031e-05,0,0
3.6800842,0.23846877,0.2382052,-1.776655e-05,-2.1043299e-05,0,0
3.7000847,0.23971292,0.23946312,-2.293182e-05,-2.5556024e-05,0,0
3.7200851,0.24095067,0.24071056,-2.7548549e-05,-2.9641027e-05,0,0
3.7400856,0.24215567,0.24192151,-3.162767e-05,-3.3243898e-05,0,0
3.760086,0.24330236,0.2430714,-3.528145e-05,-3.633079e-05,0,0
3.7800865,0.24436651,0.24413753,-3.8697748e-05,-3.896728e-05,0,0
3.800087,0.2453251,0.24509926,-4.213459e-05,-4.133171e-05,0,0
3.8200874,0.24615672,0.24593809,-4.5735713e-05,-4.3702945e-05,0,0
3.840088,0.24684268,0.2466374,-4.9457816e-05,-4.6324487e-05,0,0
3.8600883,0.24736784,0.24718258,-5.316747e-05,-4.9265276e-05,0,0
3.8800888,0.24772108,0.24756141,-5.6732824e-05,-5.2416977e-05,0,0
3.9000893,0.24789582,0.24776451,-6.0170973e-05,-5.5584635e-05,0,0
3.9200897,0.24789016,0.24778593,-6.361227e-05,-5.8652502e-05,0,0
3.9400902,0.2477059,0.24762371,-6.705948e-05,-6.16582e-05,0,0
3.9600906,0.24734795,0.24728017,-7.039188e-05,-6.465108e-05,0,0
3.980091,0.24682462,0.24676166,-7.349386e-05,-6.757938e-05,0,0
4.0000916,0.24614751,0.24607849,-7.6238335e-05,-7.03237e-05,0,0
4.020092,0.24533124,0.24524473,-7.851507e-05,-7.273111e-05,0,0
4.0400925,0.24439351,0.24427812,-8.027375e-05,-7.465424e-05,0,0
4.060093,0.24335463,0.24319977,-8.143174e-05,-7.6e-05,0,0
4.0800934,0.24223694,0.2420338,-8.18536e-05,-7.6694116e-05,0,0
4.100094,0.24106406,0.24080664,-8.142386e-05,-7.663169e-05,0,0
4.1200943,0.23985972,0.23954615,-7.997662e-05,-7.5697586e-05,0,0
4.1400948,0.23864694,0.23828039,-7.7263554e-05,-7.374321e-05,0,0
4.160095,0.237448,0.23703632,-7.3115225e-05,-7.05472e-05,0,0
4.1800957,0.2362845,0.23583893,-6.7463945e-05,-6.58996e-05,0,0
4.200096,0.23517768,0.23471077,-6.0249386e-05,-5.968213e-05,0,0
4.2200966,0.23414873,0.23367198,-5.1478433e-05,-5.184477e-05,0,0
4.240097,0.23321833,0.2327407,-4.1285366e-05,-4.241066e-05,0,0
4.2600975,0.23240633,0.2319334,-2.985915e-05,-3.1520234e-05,0,0
4.280098,0.23173076,0.23126496,-1.7301274e-05,-1.9409084e-05,0,0
4.3000984,0.23120627,0.23074865,-3.5980897e-06,-6.2885524e-06,0,0
4.320099,0.23084357,0.23039526,1.1179095e-05,7.749996e-06,0,0
4.3400993,0.23065005,0.2302125,2.679898e-05,2.264623e-05,0,0
